ID,headline,order,recalled,accuracy,Weightvar,accuracy_bool,recalled_bool,is_fake
1146768496,A,3,yes,not at all accurate,0.585416827,FALSE,TRUE,TRUE
1146768496,E,1,yes,very accurate,0.585416827,TRUE,TRUE,TRUE
1146768496,G,2,yes,very accurate,0.585416827,TRUE,TRUE,FALSE
1146768496,I,5,yes,not very accurate,0.585416827,FALSE,TRUE,FALSE
1143062614,A,1,yes,somewhat accurate,1.273979362,TRUE,TRUE,TRUE
1143062614,E,2,yes,somewhat accurate,1.273979362,TRUE,TRUE,TRUE
1143062614,I,3,yes,somewhat accurate,1.273979362,TRUE,TRUE,FALSE
1143062614,J,6,yes,somewhat accurate,1.273979362,TRUE,TRUE,FALSE
C1439717771,K,4,yes,not very accurate,1.514352776,FALSE,TRUE,FALSE
1147306114,B,4,yes,somewhat accurate,0.600294676,TRUE,TRUE,TRUE
1147306114,I,1,yes,somewhat accurate,0.600294676,TRUE,TRUE,FALSE
1141404252,A,1,yes,not at all accurate,0.762636663,FALSE,TRUE,TRUE
1141404252,K,2,yes,very accurate,0.762636663,TRUE,TRUE,FALSE
1146983406,I,3,yes,somewhat accurate,0.579052238,TRUE,TRUE,FALSE
1141323230,H,4,yes,not very accurate,0.963656966,FALSE,TRUE,FALSE
1141323230,K,5,yes,somewhat accurate,0.963656966,TRUE,TRUE,FALSE
1101430897,I,5,yes,somewhat accurate,1.055091202,TRUE,TRUE,FALSE
C1439718751,J,2,yes,somewhat accurate,0.811150692,TRUE,TRUE,FALSE
1073826524,K,6,yes,very accurate,0.782696237,TRUE,TRUE,FALSE
1141751190,C,6,yes,somewhat accurate,1.409167932,TRUE,TRUE,TRUE
1141751190,D,3,yes,somewhat accurate,1.409167932,TRUE,TRUE,TRUE
1141751190,E,1,yes,very accurate,1.409167932,TRUE,TRUE,TRUE
1141751190,F,5,yes,somewhat accurate,1.409167932,TRUE,TRUE,FALSE
1141751190,K,2,yes,somewhat accurate,1.409167932,TRUE,TRUE,FALSE
1142128740,D,6,yes,somewhat accurate,0.647538449,TRUE,TRUE,TRUE
1142128740,I,3,yes,somewhat accurate,0.647538449,TRUE,TRUE,FALSE
1142128740,K,1,yes,very accurate,0.647538449,TRUE,TRUE,FALSE
1108113847,K,4,yes,somewhat accurate,1.498810114,TRUE,TRUE,FALSE
C1439719117,A,1,yes,very accurate,0.587763245,TRUE,TRUE,TRUE
C1439719117,B,3,yes,somewhat accurate,0.587763245,TRUE,TRUE,TRUE
C1439719117,I,2,yes,very accurate,0.587763245,TRUE,TRUE,FALSE
C1439719530,G,1,yes,somewhat accurate,0.767928863,TRUE,TRUE,FALSE
C1439719530,I,4,yes,not at all accurate,0.767928863,FALSE,TRUE,FALSE
1141086809,J,3,yes,not at all accurate,1.507409538,FALSE,TRUE,FALSE
1100900382,E,5,yes,not very accurate,1.239727215,FALSE,TRUE,TRUE
1101174757,D,4,yes,not at all accurate,1.134944394,FALSE,TRUE,TRUE
1101174757,F,3,yes,somewhat accurate,1.134944394,TRUE,TRUE,FALSE
1145162718,K,1,yes,somewhat accurate,0.710922453,TRUE,TRUE,FALSE
C1439719773,H,3,yes,not at all accurate,1.727628612,FALSE,TRUE,FALSE
C1439719773,K,5,yes,somewhat accurate,1.727628612,TRUE,TRUE,FALSE
C1439720587,C,6,yes,somewhat accurate,0.72122244,TRUE,TRUE,TRUE
C1439720577,H,3,yes,very accurate,1.206505825,TRUE,TRUE,FALSE
C1439720577,I,4,yes,somewhat accurate,1.206505825,TRUE,TRUE,FALSE
C1439720577,K,1,yes,very accurate,1.206505825,TRUE,TRUE,FALSE
1144417686,A,6,yes,very accurate,0.593023855,TRUE,TRUE,TRUE
1144417686,D,4,yes,very accurate,0.593023855,TRUE,TRUE,TRUE
1144417686,E,1,yes,very accurate,0.593023855,TRUE,TRUE,TRUE
1144417686,H,3,yes,very accurate,0.593023855,TRUE,TRUE,FALSE
1144417686,J,5,yes,very accurate,0.593023855,TRUE,TRUE,FALSE
1144417686,K,2,yes,very accurate,0.593023855,TRUE,TRUE,FALSE
C1438568998,B,1,yes,somewhat accurate,0.903452271,TRUE,TRUE,TRUE
C1438568998,D,3,yes,very accurate,0.903452271,TRUE,TRUE,TRUE
C1438568998,F,4,yes,very accurate,0.903452271,TRUE,TRUE,FALSE
C1438568998,I,2,yes,very accurate,0.903452271,TRUE,TRUE,FALSE
C1438568998,K,5,yes,very accurate,0.903452271,TRUE,TRUE,FALSE
C1439720458,A,3,yes,not at all accurate,0.830006638,FALSE,TRUE,TRUE
C1439720458,G,4,yes,very accurate,0.830006638,TRUE,TRUE,FALSE
C1439720458,H,1,yes,very accurate,0.830006638,TRUE,TRUE,FALSE
1130027138,K,5,yes,very accurate,1.255379242,TRUE,TRUE,FALSE
C1439720208,A,6,yes,not at all accurate,0.640962672,FALSE,TRUE,TRUE
C1439720208,F,3,yes,not very accurate,0.640962672,FALSE,TRUE,FALSE
C1439720208,I,4,yes,not very accurate,0.640962672,FALSE,TRUE,FALSE
C1439720208,K,1,yes,very accurate,0.640962672,TRUE,TRUE,FALSE
1076592123,K,1,yes,somewhat accurate,1.756459389,TRUE,TRUE,FALSE
1146749068,A,4,yes,somewhat accurate,0.719067397,TRUE,TRUE,TRUE
1146774156,K,4,yes,very accurate,0.635276805,TRUE,TRUE,FALSE
1147350472,C,2,yes,very accurate,0.708267148,TRUE,TRUE,TRUE
1147350472,D,6,yes,very accurate,0.708267148,TRUE,TRUE,TRUE
1147350472,E,3,yes,very accurate,0.708267148,TRUE,TRUE,TRUE
1147350472,G,5,yes,very accurate,0.708267148,TRUE,TRUE,FALSE
1147350472,H,4,yes,very accurate,0.708267148,TRUE,TRUE,FALSE
1147350472,I,1,yes,very accurate,0.708267148,TRUE,TRUE,FALSE
1044758436,D,1,yes,somewhat accurate,0.692236577,TRUE,TRUE,TRUE
1044758436,F,5,yes,somewhat accurate,0.692236577,TRUE,TRUE,FALSE
1144471428,A,3,yes,very accurate,0.856062529,TRUE,TRUE,TRUE
1144471428,K,1,yes,very accurate,0.856062529,TRUE,TRUE,FALSE
C1439721752,A,4,yes,very accurate,0.650133857,TRUE,TRUE,TRUE
C1439721752,B,3,yes,very accurate,0.650133857,TRUE,TRUE,TRUE
C1439721752,C,1,yes,very accurate,0.650133857,TRUE,TRUE,TRUE
C1439721752,H,5,yes,very accurate,0.650133857,TRUE,TRUE,FALSE
C1439721752,I,2,yes,very accurate,0.650133857,TRUE,TRUE,FALSE
C1439721752,K,6,yes,very accurate,0.650133857,TRUE,TRUE,FALSE
C1439719164,A,4,yes,very accurate,2.009410748,TRUE,TRUE,TRUE
C1439719164,D,6,yes,somewhat accurate,2.009410748,TRUE,TRUE,TRUE
C1439719164,G,3,yes,somewhat accurate,2.009410748,TRUE,TRUE,FALSE
C1439719085,D,5,yes,very accurate,0.814401877,TRUE,TRUE,TRUE
C1439719085,K,2,yes,very accurate,0.814401877,TRUE,TRUE,FALSE
C1439722186,K,3,yes,somewhat accurate,0.765693398,TRUE,TRUE,FALSE
1141929412,K,3,yes,very accurate,0.762636663,TRUE,TRUE,FALSE
C1439718468,G,3,yes,very accurate,2.102540572,TRUE,TRUE,FALSE
C1439718468,H,4,yes,not very accurate,2.102540572,FALSE,TRUE,FALSE
1144829380,G,1,yes,somewhat accurate,1.417253033,TRUE,TRUE,FALSE
C1439720378,A,3,yes,not at all accurate,1.706231116,FALSE,TRUE,TRUE
C1439720378,B,5,yes,very accurate,1.706231116,TRUE,TRUE,TRUE
C1439720378,H,2,yes,very accurate,1.706231116,TRUE,TRUE,FALSE
1146530448,K,1,yes,somewhat accurate,0.635276805,TRUE,TRUE,FALSE
1147036990,H,2,yes,not very accurate,0.732946304,FALSE,TRUE,FALSE
1146938170,B,2,yes,very accurate,0.753128134,TRUE,TRUE,TRUE
1146938170,C,5,yes,very accurate,0.753128134,TRUE,TRUE,TRUE
1147334250,F,1,yes,somewhat accurate,0.652031943,TRUE,TRUE,FALSE
1147334250,I,2,yes,not at all accurate,0.652031943,FALSE,TRUE,FALSE
1147334250,J,6,yes,very accurate,0.652031943,TRUE,TRUE,FALSE
C1439721630,A,6,yes,not at all accurate,0.593023855,FALSE,TRUE,TRUE
C1439721630,I,1,yes,not at all accurate,0.593023855,FALSE,TRUE,FALSE
C1439721630,J,5,yes,somewhat accurate,0.593023855,TRUE,TRUE,FALSE
C1439721630,K,3,yes,not very accurate,0.593023855,FALSE,TRUE,FALSE
C1439722012,F,2,yes,very accurate,1.95151217,TRUE,TRUE,FALSE
1001432539,F,5,yes,not very accurate,0.732946304,FALSE,TRUE,FALSE
C1439722631,C,3,yes,somewhat accurate,0.655952698,TRUE,TRUE,TRUE
C1439722631,K,5,yes,somewhat accurate,0.655952698,TRUE,TRUE,FALSE
1145263877,F,2,yes,very accurate,2.1872195,TRUE,TRUE,FALSE
C1439722581,K,5,yes,very accurate,1.079766343,TRUE,TRUE,FALSE
C1438685780,K,2,yes,very accurate,0.849417785,TRUE,TRUE,FALSE
C1439723184,A,5,yes,very accurate,0.765693398,TRUE,TRUE,TRUE
C1439723184,B,4,yes,very accurate,0.765693398,TRUE,TRUE,TRUE
C1439723184,C,2,yes,somewhat accurate,0.765693398,TRUE,TRUE,TRUE
1131555786,B,6,yes,very accurate,0.655427024,TRUE,TRUE,TRUE
1131555786,C,5,yes,very accurate,0.655427024,TRUE,TRUE,TRUE
1131555786,D,4,yes,not at all accurate,0.655427024,FALSE,TRUE,TRUE
1131555786,K,3,yes,somewhat accurate,0.655427024,TRUE,TRUE,FALSE
C1439723874,B,3,yes,very accurate,1.759157873,TRUE,TRUE,TRUE
C1439723874,D,2,yes,very accurate,1.759157873,TRUE,TRUE,TRUE
C1439723874,G,4,yes,somewhat accurate,1.759157873,TRUE,TRUE,FALSE
C1439723874,H,1,yes,very accurate,1.759157873,TRUE,TRUE,FALSE
C1439723874,I,6,yes,somewhat accurate,1.759157873,TRUE,TRUE,FALSE
1146663456,D,3,yes,not very accurate,0.64800294,FALSE,TRUE,TRUE
1146663456,K,6,yes,very accurate,0.64800294,TRUE,TRUE,FALSE
1147080641,C,2,yes,somewhat accurate,1.718957075,TRUE,TRUE,TRUE
1147080641,G,5,yes,somewhat accurate,1.718957075,TRUE,TRUE,FALSE
C1439720917,A,2,yes,not at all accurate,0.630970841,FALSE,TRUE,TRUE
C1439720917,E,1,yes,very accurate,0.630970841,TRUE,TRUE,TRUE
C1439720917,F,5,yes,very accurate,0.630970841,TRUE,TRUE,FALSE
C1439720917,K,3,yes,somewhat accurate,0.630970841,TRUE,TRUE,FALSE
1146328005,E,6,yes,very accurate,0.795454119,TRUE,TRUE,TRUE
1146328005,F,2,yes,somewhat accurate,0.795454119,TRUE,TRUE,FALSE
1146328005,I,5,yes,not at all accurate,0.795454119,FALSE,TRUE,FALSE
1146328005,K,4,yes,somewhat accurate,0.795454119,TRUE,TRUE,FALSE
1138802722,I,3,yes,not very accurate,0.732946304,FALSE,TRUE,FALSE
1125201934,G,2,yes,somewhat accurate,1.774902723,TRUE,TRUE,FALSE
1125201934,I,4,yes,somewhat accurate,1.774902723,TRUE,TRUE,FALSE
1144142490,B,2,yes,somewhat accurate,0.633194585,TRUE,TRUE,TRUE
1144142490,D,6,yes,not very accurate,0.633194585,FALSE,TRUE,TRUE
1144142490,I,1,yes,not very accurate,0.633194585,FALSE,TRUE,FALSE
1144142490,K,4,yes,somewhat accurate,0.633194585,TRUE,TRUE,FALSE
C1439724189,B,2,yes,very accurate,0.748195545,TRUE,TRUE,TRUE
C1439724189,G,1,yes,not very accurate,0.748195545,FALSE,TRUE,FALSE
1001178581,K,5,yes,somewhat accurate,1.226690943,TRUE,TRUE,FALSE
1141080229,B,2,yes,somewhat accurate,0.640154273,TRUE,TRUE,TRUE
1141080229,F,5,yes,somewhat accurate,0.640154273,TRUE,TRUE,FALSE
1141080229,J,4,yes,somewhat accurate,0.640154273,TRUE,TRUE,FALSE
1147269909,B,2,yes,somewhat accurate,0.647538449,TRUE,TRUE,TRUE
1147269909,C,4,yes,very accurate,0.647538449,TRUE,TRUE,TRUE
1147269909,D,1,yes,somewhat accurate,0.647538449,TRUE,TRUE,TRUE
1147269909,G,3,yes,not very accurate,0.647538449,FALSE,TRUE,FALSE
1147269909,I,6,yes,very accurate,0.647538449,TRUE,TRUE,FALSE
1145419522,C,4,yes,not very accurate,1.079766343,FALSE,TRUE,TRUE
1145419522,D,3,yes,somewhat accurate,1.079766343,TRUE,TRUE,TRUE
1130902130,G,2,yes,very accurate,0.630291416,TRUE,TRUE,FALSE
1130902130,K,1,yes,somewhat accurate,0.630291416,TRUE,TRUE,FALSE
C1439722925,K,3,yes,very accurate,0.700476563,TRUE,TRUE,FALSE
1147333552,I,1,yes,very accurate,0.976178925,TRUE,TRUE,FALSE
1142226761,H,6,yes,somewhat accurate,0.632740708,TRUE,TRUE,FALSE
C1439723275,K,6,yes,very accurate,1.09075965,TRUE,TRUE,FALSE
C1439724008,H,1,yes,somewhat accurate,0.650133857,TRUE,TRUE,FALSE
C1439724008,K,3,yes,not very accurate,0.650133857,FALSE,TRUE,FALSE
C1439724322,C,2,yes,not at all accurate,0.697680181,FALSE,TRUE,TRUE
C1439724322,G,5,yes,somewhat accurate,0.697680181,TRUE,TRUE,FALSE
C1439725167,A,2,yes,somewhat accurate,0.694676242,TRUE,TRUE,TRUE
C1439725167,C,5,yes,very accurate,0.694676242,TRUE,TRUE,TRUE
